date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL
2003-01,0.0164252,31.7844,33.2719,0.203925,5.9419,,,,
2003-02,0.0162562,31.8345,34.429,0.205576,5.94182,,,,
2003-03,0.0159887,31.5729,33.9409,0.208194,5.89454,,,,
2003-04,0.0156963,31.3801,33.9815,0.206202,5.85471,,,,
2003-05,0.015331,31.1021,34.5513,0.204875,5.77205,,,,
2003-06,0.0150078,30.709,36.4669,0.204125,5.63882,,,,
2003-07,0.0147152,30.3809,34.7223,0.205946,5.64921,,,,
2003-08,0.0145704,30.2791,34.3395,0.206358,5.64751,,,,
2003-09,0.0145172,30.5036,33.2001,0.206829,5.67055,,,,
2003-10,0.0144789,30.6142,35.6043,0.205656,5.67897,,,,
2003-11,0.0140383,29.9451,34.7992,0.202923,5.55465,,,,
2003-12,0.0138432,29.7387,35.5021,0.202809,5.51687,,,,
2004-01,0.0135751,29.4545,37.0979,0.20567,5.474,,,,
2004-02,0.0131915,28.4937,35.3635,0.204323,5.27896,,,,
2004-03,0.0132329,28.5156,35.5076,0.205098,5.2939,,,,
2004-04,0.013261,28.5151,34.9082,0.205346,5.2941,,,,
2004-05,0.0134213,28.9612,34.6289,0.209668,5.40129,,,,
2004-06,0.013446,28.9993,35.3907,0.21172,5.43363,,,,
